y_w,ge_timestamp,lt_timestamp
200415,1081165609,1081770409
200416,1081770409,1082375209
200417,1082375209,1082980009
200418,1082980009,1083584809
200419,1083584809,1084189609
200420,1084189609,1084794409
200421,1084794409,1085399209
200422,1085399209,1086004009
200423,1086004009,1086608809
200424,1086608809,1087213609
200425,1087213609,1087818409
200426,1087818409,1088423209
200427,1088423209,1089028009
200428,1089028009,1089632809
200429,1089632809,1090237609
200430,1090237609,1090842409
200431,1090842409,1091447209
200432,1091447209,1092052009
200433,1092052009,1092656809
200434,1092656809,1093261609
200435,1093261609,1093866409
200436,1093866409,1094471209
200437,1094471209,1095076009
200438,1095076009,1095680809
200439,1095680809,1096285609
200440,1096285609,1096890409
200441,1096890409,1097495209
200442,1097495209,1098100009
200443,1098100009,1098704809
200444,1098704809,1099309609
200445,1099309609,1099914409
200446,1099914409,1100519209
200447,1100519209,1101124009
200448,1101124009,1101728809
200449,1101728809,1102333609
200450,1102333609,1102938409
200451,1102938409,1103543209
200452,1103543209,1104148009
200453,1104148009,1104752809
200501,1104752809,1105357609
200502,1105357609,1105962409
200503,1105962409,1106567209
200504,1106567209,1107172009
200505,1107172009,1107776809
200506,1107776809,1108381609
200507,1108381609,1108986409
200508,1108986409,1109591209
200509,1109591209,1110196009
200510,1110196009,1110800809
200511,1110800809,1111405609
200512,1111405609,1112010409
200513,1112010409,1112615209
200514,1112615209,1113220009
200515,1113220009,1113824809
200516,1113824809,1114429609
200517,1114429609,1115034409
200518,1115034409,1115639209
200519,1115639209,1116244009
200520,1116244009,1116848809
200521,1116848809,1117453609
200522,1117453609,1118058409
200523,1118058409,1118663209
200524,1118663209,1119268009
200525,1119268009,1119872809
200526,1119872809,1120477609
200527,1120477609,1121082409
200528,1121082409,1121687209
200529,1121687209,1122292009
200530,1122292009,1122896809
200531,1122896809,1123501609
200532,1123501609,1124106409
200533,1124106409,1124711209
200534,1124711209,1125316009
200535,1125316009,1125920809
200536,1125920809,1126525609
200537,1126525609,1127130409
200538,1127130409,1127735209
200539,1127735209,1128340009
200540,1128340009,1128944809
200541,1128944809,1129549609
200542,1129549609,1130154409
200543,1130154409,1130759209
200544,1130759209,1131364009
200545,1131364009,1131968809
200546,1131968809,1132573609
200547,1132573609,1133178409
200548,1133178409,1133783209
200549,1133783209,1134388009
200550,1134388009,1134992809
200551,1134992809,1135597609
200552,1135597609,1136202409
200601,1136202409,1136807209
200602,1136807209,1137412009
200603,1137412009,1138016809
200604,1138016809,1138621609
200605,1138621609,1139226409
200606,1139226409,1139831209
200607,1139831209,1140436009
200608,1140436009,1141040809
200609,1141040809,1141645609
200610,1141645609,1142250409
200611,1142250409,1142855209
200612,1142855209,1143460009
200613,1143460009,1144064809
200614,1144064809,1144669609
200615,1144669609,1145274409
200616,1145274409,1145879209
200617,1145879209,1146484009
200618,1146484009,1147088809
200619,1147088809,1147693609
200620,1147693609,1148298409
200621,1148298409,1148903209
200622,1148903209,1149508009
200623,1149508009,1150112809
200624,1150112809,1150717609
200625,1150717609,1151322409
200626,1151322409,1151927209
200627,1151927209,1152532009
200628,1152532009,1153136809
200629,1153136809,1153741609
200630,1153741609,1154346409
200631,1154346409,1154951209
200632,1154951209,1155556009
200633,1155556009,1156160809
200634,1156160809,1156765609
200635,1156765609,1157370409
200636,1157370409,1157975209
200637,1157975209,1158580009
200638,1158580009,1159184809
200639,1159184809,1159789609
200640,1159789609,1160394409
200641,1160394409,1160999209
200642,1160999209,1161604009
200643,1161604009,1162208809
200644,1162208809,1162813609
200645,1162813609,1163418409
200646,1163418409,1164023209
200647,1164023209,1164628009
200648,1164628009,1165232809
200649,1165232809,1165837609
200650,1165837609,1166442409
200651,1166442409,1167047209
200652,1167047209,1167652009
200701,1167652009,1168256809
200702,1168256809,1168861609
200703,1168861609,1169466409
200704,1169466409,1170071209
200705,1170071209,1170676009
200706,1170676009,1171280809
200707,1171280809,1171885609
200708,1171885609,1172490409
200709,1172490409,1173095209
200710,1173095209,1173700009
200711,1173700009,1174304809
200712,1174304809,1174909609
200713,1174909609,1175514409
200714,1175514409,1176119209
200715,1176119209,1176724009
200716,1176724009,1177328809
200717,1177328809,1177933609
